question_index,category,criteria,question_for_user,criteria_weight,score_allowed_values,description,sub_question_to
12,steering,"Capacity to form an adequate cooperative structure (newly or based on existing structures), e.g. with the capacity to anticipate and manage project risks",How would you rate the ability of your community to form a community cooperative (newly or based on similar existing organizational structures)?,0.0256253813300793,"[[1.0, 'High'],[0.5, 'Medium'],[0.0, 'Low']]",,
13,steering,Knowledge of the present local and national regulatory framework for mini-grid,Please select the statement that best describes the level of regulatory knowledge in your community: ,0.034,"[[1.0, 'Certain individuals in the community are familiar with the process for obtaining the necessary permits to implementing a mini-grid project by the Nigerian Electricity Regulatory Commission (NERC).'],[0.5, 'Certain individuals in the community might be familiar with general implication of Nigeria’s current national regulations governing energy projects.'],[0.0, 'Community members are not informed about Nigeria’s current national regulations governing energy projects at all.']]",,
14,control,Local social norms that prevent from negative/destructive actions,"Please select the statement that best describes your community in terms of handling possessions, such as food, vehicles, or agricultural appliances:",0.0192190359975595,"[[1.0, 'Community members frequently share food, vehicles, agricultural appliances, or other possessions with their neighbours and other community members.'],[0.5, 'Community members sometimes share food, vehicles, agricultural appliances, or other possessions with other community members, if it is necessary.'],[0.0, 'Each household owns the resources that are needed, and community members are not used to sharing possessions.']]",,
15,control,Local social norms that prevent from negative/destructive actions,"Have there been any major criminal actions by community members in the past 12 months, such as theft, robbery, blackmail, or violence?",0.0192190359975595,"[[0.0, 'Yes'],[1.0, 'No']]",,
16,control,Present mechanisms of conflict management,"Is there a (formal) designated place, office, or other form of procedure where community members can submit grievances?",0.0219646125686394,"[[1.0, 'Yes'],[0.0, 'No']]",,
17,control,Present mechanisms of conflict management,have there been a mediation process conducted in the community in the past 5 years? ,0.0219646125686394,"[[1.0, 'Yes'],[0.0, 'No']]",,
18,institutional,"Presence of local/regional organizations/institutions that would support the project rollout (e.g., community cooperatives, relevant NGOs, government institutions)","Is there any relevant institution active in your region that fosters rural development, such as established local government office or department, other community cooperatives, or relevant NGOs?",0.0192190359975595,"[[1.0, 'Yes'],[0.0, 'No']]",,
19,institutional,"Presence of local/regional organizations/institutions that would support the project rollout (e.g., community cooperatives, relevant NGOs, government institutions)","Does the community actively collaborate with one or several of these institutions to address rural development issues in areas like education, health, environment, and/or infrastructure?",0.0192190359975595,"[[1.0, 'Yes'],[0.0, 'No']]",,18
20,economic,Relevant skills of community members that are needed to install and maintain the mini-grid,Are there skilled individuals within the community that are capable of maintaining and repairing simple parts of generators and the distribution grid?,0.0192190359975595,"[[1.0, 'Yes'],[0.0, 'No']]",,
21,economic,Relevant skills of community members that are needed to install and maintain the mini-grid,Are there skilled individuals within the community that are capable of maintaining and repairing a solar PV installation or have an adequate energy background and the ability to learn such skills?,0.0192190359975595,"[[1.0, 'Yes'],[0.0, 'No']]",,
22,financial,Capacity to manage required means of financing,Did any community institution manage joint financial resources for any investment project in the community in the past 5 years? ,0.038438071995119,"[[1.0, 'Yes'],[0.0, 'No']]",,
23,financial,Capacity to manage required means of financing,"Please indicate the overall approximate height of the managed financial resources:",0.038438071995119,"[[0.0, 'Lower than 4 million NGN'], [0.5, 'Between 4 - 30 million NGN'], [1.0, 'More than 30 million NGN']]",,22
24,financial,Available financial resources in the community (equity),"With a rough estimation, how much financial resources (equity) could the community itself mobilize and provide for investing in a mini-grid installation (in NGN)?",0.154,"[[0.0, 'None'], [0.3, 'Less than 5 million NGN'], [0.6, 'Between 5 - 10 million NGN'], [0.8, 'Between 10 - 20 million NGN'], [0.9, 'Between 20 - 50 million NGN'], [1.0, 'More than 50 million NGN']]",,
25,financial,Capacity to reach out and attract financial support,"Is any community member skilled in financial issues, including budgeting, financial instruments, and business models?",0.153752287980476,"[[1.0, 'Yes'],[0.0, 'No']]",,
26,financial,Capacity to reach out and attract financial support,Has the community through any organizational body successfully secured external funding for a community initiative in the past?,0.153752287980476,"[[1.0, 'Yes'],[0.0, 'No']]",,
